% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, 25%tile, current best feasible f-value, elapsed wallclock time [s], further/more values", seed=363741, Wed Sep 23 17:46:20 2026, <python>{}</python>
1 64 0.09699578748336826 1.000049877481464 206.7 2.0669999999999999e+02 500.0 500.0 0.0 500.0 nan 112.1   
2 128 0.09447690464030645 1.000049877481464 206.7 3.1219999999999999e+02 500.0 500.0 0.0 500.0 nan 224.9   
3 192 0.09236478357654836 1.007976254446287 156.6 1.5659999999999999e+02 500.0 500.0 0.0 500.0 nan 344.3   
4 256 0.09059061562671737 1.007976254446287 154.7 1.5469999999999999e+02 500.0 1000.0 2.8999999999999773 497.1 nan 467.8   
5 320 0.08911233942273727 1.0088533919697704 154.7 2.2530000000000001e+02 500.0 1000.0 0.0 500.0 nan 594.0   
6 384 0.08779781454373166 1.0088533919697704 123.5 1.2350000000000000e+02 500.0 1000.0 4.0499999999999545 495.95000000000005 nan 713.8   
7 448 0.08651885386209503 1.009790892738601 123.5 2.0559999999999999e+02 500.0 1000.0 6.949999999999989 493.05 nan 835.6   
8 512 0.08539216964896569 1.009790892738601 123.5 1.5209999999999999e+02 500.0 500.0 14.25 485.75 nan 960.0   
9 576 0.08437996838291759 1.010505364687906 123.5 1.6219999999999999e+02 500.0 500.0 76.5 423.5 nan 1077.7   
10 640 0.08345751659526947 1.010505364687906 123.5 1.6890000000000001e+02 500.0 1000.0 0.0 500.0 nan 1202.7   
11 704 0.08257414833880972 1.0112326205432975 123.5 1.5909999999999999e+02 500.0 1000.0 1.8999999999999773 498.1 nan 1321.4   
12 768 0.0816578390865898 1.0112326205432975 123.5 2.3619999999999999e+02 500.0 1000.0 24.100000000000023 475.9 nan 1440.5   
13 832 0.08090600311704584 1.012026509262053 123.5 1.9409999999999999e+02 500.0 1000.0 0.0 500.0 nan 1563.4   
14 896 0.08019410882474952 1.012026509262053 123.5 1.4300000000000000e+02 500.0 500.0 0.0 500.0 nan 1686.5   
15 960 0.07954370734890807 1.012665724231806 123.5 2.2830000000000001e+02 500.0 1000.0 4.649999999999977 495.35 nan 1818.3   
16 1024 0.07900190285420966 1.012665724231806 123.5 1.8609999999999999e+02 500.0 1000.0 11.100000000000023 488.9 nan 1940.2   
17 1088 0.07847360161612715 1.0136004962183849 123.5 1.7230000000000001e+02 500.0 1000.0 0.14999999999997726 499.85 nan 2061.1   
18 1152 0.07800998560679773 1.0136004962183849 123.5 1.7290000000000001e+02 500.0 1000.0 42.14999999999998 457.85 nan 2173.6   
19 1216 0.07757811316050862 1.0146355702245706 123.5 1.3869999999999999e+02 500.0 500.0 43.60000000000002 456.4 nan 2290.8   
20 1280 0.07714400652474547 1.0146355702245706 123.5 2.3730000000000001e+02 500.0 500.0 60.19999999999999 439.8 nan 2409.1   
21 1344 0.07673764340576882 1.0156926839312166 123.5 2.1490000000000001e+02 500.0 500.0 35.80000000000001 464.2 nan 2523.5   
22 1408 0.07640818323008407 1.0156926839312166 123.5 1.8700000000000000e+02 500.0 1000.0 75.14999999999998 424.85 nan 2636.5   
23 1472 0.07606561718971645 1.0170767053368555 123.5 1.4600000000000000e+02 500.0 1000.0 62.19999999999999 437.8 nan 2744.5   
24 1536 0.07577578625706143 1.0170767053368555 123.5 1.4659999999999999e+02 500.0 500.0 62.5 437.5 nan 2862.2   
25 1600 0.07540660286709978 1.0184114629186618 123.5 1.4950000000000000e+02 500.0 500.0 31.350000000000023 468.65 nan 2976.1   
26 1664 0.07504349823988372 1.0184114629186618 123.5 2.0290000000000001e+02 500.0 500.0 70.0 430.0 nan 3090.3   
27 1728 0.0747566777500876 1.019854834405524 123.5 1.3590000000000001e+02 500.0 500.0 47.94999999999999 452.05 nan 3213.6   
28 1792 0.07444588799798872 1.019854834405524 123.5 1.3480000000000001e+02 500.0 1000.0 50.60000000000002 449.4 nan 3325.9   
29 1856 0.07423636580986616 1.0212367510659455 123.5 1.3850000000000000e+02 500.0 500.0 93.94999999999999 406.05 nan 3442.0   
30 1920 0.07398226744210722 1.0212367510659455 123.5 1.7990000000000001e+02 500.0 500.0 98.69999999999999 401.3 nan 3559.0   
31 1984 0.07377499163445693 1.0228572554860582 120.7 1.2070000000000000e+02 499.6 1000.0 86.85000000000002 413.15 nan 3673.8   
32 2048 0.07362197636856871 1.0228572554860582 120.7 1.4119999999999999e+02 500.0 500.0 98.64999999999998 401.35 nan 3790.9   
33 2112 0.07349432221832165 1.02449126151725 112.0 1.1200000000000000e+02 500.0 500.0 74.79999999999995 425.20000000000005 nan 3907.9   
34 2176 0.07334113899120889 1.02449126151725 110.7 1.1070000000000000e+02 500.0 500.0 94.10000000000002 405.9 nan 4019.5   
35 2240 0.07317825920358205 1.0264846142961914 110.7 1.2009999999999999e+02 500.0 1000.0 140.54999999999995 359.45000000000005 nan 4130.0   
36 2304 0.0730164269406746 1.0264846142961914 110.7 1.3380000000000001e+02 500.0 1000.0 0.0 500.0 nan 4243.4   
37 2368 0.07291877426593928 1.0283336541333101 110.7 1.1220000000000000e+02 463.3 500.0 195.3 304.7 nan 4345.1   
38 2432 0.07279674726211198 1.0283336541333101 108.4 1.0840000000000001e+02 500.0 500.0 139.35000000000002 360.65 nan 4456.5   
39 2496 0.07271154978868642 1.0302856534094647 108.4 1.3440000000000001e+02 500.0 1000.0 157.64999999999998 342.35 nan 4560.5   
40 2560 0.07259097171107885 1.0302856534094647 108.4 1.1020000000000000e+02 489.9 500.0 165.39999999999998 334.6 nan 4666.5   
41 2624 0.07251628120621863 1.0323332419526898 108.4 1.5680000000000001e+02 500.0 500.0 122.64999999999998 377.35 nan 4781.2   
42 2688 0.07239699755202747 1.0323332419526898 108.4 1.2340000000000001e+02 500.0 1000.0 76.69999999999999 423.3 nan 4895.7   
43 2752 0.07230804143338578 1.0344793254198206 108.4 1.3190000000000001e+02 500.0 1000.0 136.05 363.95 nan 5010.9   
44 2816 0.07215048195892833 1.0344793254198206 108.4 1.5330000000000001e+02 500.0 1000.0 57.80000000000001 442.2 nan 5133.2   
45 2880 0.07207540669143665 1.0364706809247823 108.4 1.3409999999999999e+02 500.0 500.0 124.29999999999995 375.70000000000005 nan 5250.0   
46 2944 0.0719873583811236 1.0364706809247823 108.4 1.6359999999999999e+02 500.0 1000.0 94.5 405.5 nan 5365.3   
47 3008 0.07192621736186137 1.038557136121814 101.0 1.0100000000000000e+02 500.0 1000.0 69.64999999999998 430.35 nan 5486.7   
48 3072 0.07184294595532369 1.038557136121814 101.0 1.4280000000000001e+02 500.0 1000.0 82.85000000000002 417.15 nan 5606.0   
49 3136 0.07180645736408878 1.0407664469949898 101.0 1.0230000000000000e+02 500.0 1000.0 159.60000000000002 340.4 nan 5714.5   
50 3200 0.07175833817094447 1.0407664469949898 101.0 1.4950000000000000e+02 500.0 1000.0 97.64999999999998 402.35 nan 5827.4   
51 3264 0.07164590959134239 1.0429485001508463 101.0 1.5190000000000001e+02 500.0 1000.0 89.35000000000002 410.65 nan 5941.2   
52 3328 0.07151305964395799 1.0429485001508463 101.0 1.1130000000000000e+02 500.0 500.0 190.5 309.5 nan 6056.2   
53 3392 0.07140411570980533 1.0450452393394158 101.0 1.2500000000000000e+02 500.0 1000.0 141.7 358.3 nan 6171.7   
54 3456 0.0712702545547216 1.0450452393394158 101.0 1.2130000000000000e+02 500.0 500.0 124.30000000000001 375.7 nan 6284.6   
55 3520 0.07113896400134019 1.0473479992877062 101.0 1.0959999999999999e+02 500.0 500.0 152.60000000000002 347.4 nan 6391.8   
56 3584 0.0710020273225245 1.0473479992877062 101.0 1.3180000000000001e+02 500.0 500.0 133.85000000000002 366.15 nan 6495.8   
57 3648 0.0708310940198416 1.0493472593969821 101.0 1.4990000000000001e+02 500.0 500.0 157.2 342.8 nan 6596.8   
